ride_id,customer_id,trip_distance,fare_amount,tpep_pickup_datetime,tpep_dropoff_datetime,status,order_id,customer_name,total,order_date,channel,trip_duration_minutes
1000.0,C156,19.96,1062.81,2024-11-14 19:27:00,2024-11-14 19:54:00,completed,,,,,,27.0
1001.0,C660,13.42,411.93,2024-11-08 21:18:00,2024-11-08 21:26:00,cancelled,,,,,,8.0
1002.0,C203,15.05,835.38,2025-01-05 01:52:00,2025-01-05 03:00:00,completed,,,,,,68.0
1003.0,C768,29.5,1467.8,2024-12-25 04:26:00,2024-12-25 05:45:00,completed,,,,,,79.0
1004.0,C603,21.02,645.82,2024-11-15 22:59:00,2024-11-16 00:25:00,completed,,,,,,86.0
1005.0,C133,20.33,661.83,2024-12-13 08:56:00,2024-12-13 10:22:00,completed,,,,,,86.0
1006.0,C366,7.14,309.82,2025-01-03 22:22:00,2025-01-03 22:55:00,cancelled,,,,,,33.0
1007.0,C617,22.91,728.65,2024-12-08 17:51:00,2024-12-08 18:00:00,cancelled,,,,,,9.0
1008.0,C959,11.48,518.46,2024-12-01 10:12:00,2024-12-01 11:09:00,completed,,,,,,57.0
1009.0,C628,25.89,1191.35,2024-12-08 19:22:00,2024-12-08 20:35:00,refunded,,,,,,73.0
1010.0,C692,10.51,252.02,2024-12-12 17:56:00,2024-12-12 18:18:00,completed,,,,,,22.0
1011.0,C964,7.87,445.4,2025-01-01 11:22:00,2025-01-01 12:07:00,completed,,,,,,45.0
1012.0,C560,15.98,487.84,2024-12-15 15:20:00,2024-12-15 16:44:00,completed,,,,,,84.0
1013.0,C662,23.13,981.85,2024-11-29 02:13:00,2024-11-29 02:55:00,completed,,,,,,42.0
1014.0,C765,19.63,1116.11,2024-12-08 21:33:00,2024-12-08 21:45:00,refunded,,,,,,12.0
1015.0,C438,28.56,974.72,2025-01-08 00:20:00,2025-01-08 01:42:00,refunded,,,,,,82.0
1016.0,C725,21.69,1238.5,2024-12-18 16:07:00,2024-12-18 17:31:00,completed,,,,,,84.0
1017.0,C866,26.29,897.29,2024-12-08 03:22:00,2024-12-08 04:14:00,refunded,,,,,,52.0
1018.0,C676,19.22,608.54,2024-11-03 01:52:00,2024-11-03 02:53:00,completed,,,,,,61.0
1019.0,C542,1.91,69.42,2024-11-11 17:51:00,2024-11-11 18:51:00,completed,,,,,,60.0
1020.0,C153,27.14,768.83,2024-11-09 05:08:00,2024-11-09 05:34:00,completed,,,,,,26.0
1021.0,C500,10.94,418.37,2024-12-26 14:16:00,2024-12-26 14:22:00,completed,,,,,,6.0
1022.0,C889,15.84,471.82,2024-12-29 07:59:00,2024-12-29 09:07:00,completed,,,,,,68.0
1023.0,C913,23.64,772.12,2024-12-23 17:35:00,2024-12-23 18:24:00,cancelled,,,,,,49.0
1024.0,C359,8.39,339.75,2024-12-28 13:26:00,2024-12-28 14:21:00,completed,,,,,,55.0
1025.0,C181,18.18,640.26,2024-12-30 20:23:00,2024-12-30 21:42:00,completed,,,,,,79.0
1026.0,C619,17.05,939.57,2025-01-03 04:10:00,2025-01-03 04:40:00,completed,,,,,,30.0
1027.0,C443,21.89,698.61,2024-11-28 09:58:00,2024-11-28 10:51:00,completed,,,,,,53.0
1028.0,C357,13.77,746.09,2024-11-08 03:39:00,2024-11-08 04:09:00,cancelled,,,,,,30.0
1029.0,C951,29.06,1163.84,2024-12-02 16:36:00,2024-12-02 16:41:00,completed,,,,,,5.0
1030.0,C497,3.67,149.56,2024-12-11 23:12:00,2024-12-11 23:31:00,completed,,,,,,19.0
1031.0,C467,12.37,658.82,2024-11-07 15:50:00,2024-11-07 16:24:00,completed,,,,,,34.0
1032.0,C939,21.62,728.73,2024-12-25 19:43:00,2024-12-25 20:26:00,completed,,,,,,43.0
1033.0,C271,18.71,672.21,2025-01-09 06:20:00,2025-01-09 07:26:00,completed,,,,,,66.0
1034.0,C754,20.65,629.91,2025-01-08 13:42:00,2025-01-08 15:01:00,completed,,,,,,79.0
1035.0,C729,29.54,992.54,2024-12-06 08:19:00,2024-12-06 09:19:00,completed,,,,,,60.0
1036.0,C750,13.57,622.99,2024-12-04 11:23:00,2024-12-04 12:44:00,completed,,,,,,81.0
1037.0,C522,6.27,328.23,2024-11-02 23:45:00,2024-11-03 01:12:00,refunded,,,,,,87.0
1038.0,C682,17.34,686.58,2024-11-29 04:50:00,2024-11-29 06:14:00,cancelled,,,,,,84.0
1039.0,C852,7.0,229.41,2024-12-22 15:35:00,2024-12-22 15:51:00,completed,,,,,,16.0
1040.0,C824,1.54,32.51,2024-11-27 12:38:00,2024-11-27 13:37:00,refunded,,,,,,59.0
1041.0,C606,22.87,542.93,2024-12-09 01:08:00,2024-12-09 02:10:00,completed,,,,,,62.0
1042.0,C384,21.2,831.29,2024-12-23 10:25:00,2024-12-23 10:41:00,completed,,,,,,16.0
1043.0,C967,29.71,904.75,2024-11-22 20:12:00,2024-11-22 20:28:00,completed,,,,,,16.0
1044.0,C840,29.39,862.28,2024-12-30 02:03:00,2024-12-30 02:09:00,completed,,,,,,6.0
1045.0,C378,18.28,484.18,2024-11-27 21:36:00,2024-11-27 22:54:00,cancelled,,,,,,78.0
1046.0,C456,7.65,263.72,2024-11-05 21:03:00,2024-11-05 22:28:00,completed,,,,,,85.0
1047.0,C321,22.78,1323.18,2024-12-28 14:06:00,2024-12-28 15:11:00,completed,,,,,,65.0
1048.0,C905,23.9,848.86,2024-11-30 08:58:00,2024-11-30 09:03:00,completed,,,,,,5.0
1049.0,C330,18.51,1043.33,2024-11-12 08:56:00,2024-11-12 09:05:00,cancelled,,,,,,9.0
1050.0,C635,10.35,462.14,2025-01-02 04:02:00,2025-01-02 05:07:00,completed,,,,,,65.0
